DateTime,AddedIPs,RemovedIPs
1624163494,17,12
1624174333,12,17
1624185187,21,21
1624196041,21,9
1624206885,19,19
1624217732,12,17
1624228587,24,14
1624239434,21,16
1624250291,26,15
1624261443,25,21
1624272290,17,24
1624283143,18,13
1624293988,18,7
1624305134,20,22
1624315985,15,18
1624326839,15,13
1624337685,18,15
1624348531,16,15
1624359378,17,11
1624370231,21,23
1624381072,17,13
1624391884,9,12
1624402727,19,7
1624413567,12,0
1624424712,17,0
1624435558,26,0
1624446707,14,11
1624457558,12,12
1624468407,14,27
1624479254,17,26
1624490407,9,7
1624501255,21,19
1624512106,15,13
1624534323,25,32
1624545478,13,15
1624556638,22,22
1624567491,8,23
1624578341,12,20
1624589187,18,17
1624600032,12,16
1624610875,22,19
1624621729,18,22
1624632576,21,19
1624643428,19,13
1624654283,15,9
1624665135,12,14
1624675981,9,17
1624686830,20,16
1624697980,15,24
1624708835,16,15
1624719690,22,22
1624730539,18,22
1624741693,9,18
1624752548,19,17
1624763400,13,8
1624774248,13,16
1624785110,15,19
1624795959,19,17
1624806805,14,22
1624817657,27,14
1624828509,13,9
1624839361,20,9
1624850505,24,22
1624861364,16,15
1624872227,9,19
1624883071,15,1
1624893921,20,0
1624904772,21,15
1624915926,11,21
1624926778,18,8
1624937626,31,13
1624948482,20,18
1624959336,18,9
1624970191,24,23
1624981039,24,11
1624991891,22,21
1625003043,13,13
1625013892,12,25
1625035893,11,47
1625046745,28,23
1625057589,17,13
1625068750,18,22
1625085271,16,27
1625096123,20,17
1625106980,13,17
1625118135,12,16
1625129001,13,36
1625139857,13,18
1625150710,21,15
1625161557,17,14
1625172408,19,19
1625183269,21,0
1625194119,19,0
1625204977,20,0
1625215828,15,17
1625226695,19,16
1625237546,18,19
1625248394,20,12
1625259248,20,9
1625270402,18,11
1625281259,15,14
1625292403,29,16
1625303259,14,13
1625314121,18,9
1625324981,16,18
1625336139,17,15
1625347001,14,17
1625357858,13,11
1625379822,4,48
1625390989,18,12
1625401908,13,6
1625412763,32,17
1625423620,13,15
1625434477,17,13
1625445334,17,1
1625456187,15,0
1625467039,14,4
1625477910,22,17
1625488819,21,10
1625499671,14,8
1625510529,14,16
1625521690,23,13
1625532907,8,11
1625560589,40,34
1625571449,13,15
1625582308,17,22
1625593464,14,21
1625604316,24,14
1625615466,19,11
1625626331,13,22
1625637497,14,14
1625648352,20,25
1625659213,21,11
1625670060,21,18
1625681215,24,7
1625692064,23,14
1625703212,21,15
1625714061,24,15
1625725213,18,28
1625736067,15,18
1625746928,29,17
1625758089,23,24
1625768947,12,31
1625779803,23,22
1625790651,19,15
1625801503,13,12
1625812357,32,23
1625823214,18,21
1625834371,20,18
1625845222,30,14
1625856078,33,15
1625866938,21,15
1625878098,19,0
1625888952,33,0
1625899815,14,3
1625927555,6,115
1625938407,21,15
1625949268,21,22
1625960120,15,15
1625970976,16,20
1625981832,15,21
1625992684,12,20
1626003540,26,10
1626014397,20,15
1626025248,15,12
1626036096,14,14
1626046949,16,17
1626057808,13,8
1626068667,21,0
1626079525,16,0
1626090379,11,0
1626101230,18,19
1626112086,26,18
1626122963,24,17
1626133814,16,17
1626144669,23,31
1626155526,19,15
1626166390,20,16
1626177257,24,21
1626188409,27,11
1626199262,23,29
1626210111,20,14
1626220964,17,20
1626232120,14,22
1626242983,19,21
1626253848,14,22
1626265000,20,18
1626276159,18,20
1626287020,14,23
1626297877,6,22
1626308727,9,18
1626319575,18,22
1626330430,17,26
1626341299,18,17
1626352152,19,16
1626363308,17,32
1626374396,16,19
1626385244,15,9
1626396097,10,14
1626406949,12,24
1626417796,9,28
1626428653,17,29
1626439525,15,16
1626450680,15,16
1626461531,16,13
1626472385,18,10
1626483242,12,17
1626532801,1,94
1626543657,6,14
1626554513,10,13
1626565374,9,16
1626576532,8,11
1626587377,12,18
1626598228,6,15
1626609394,6,18
1626620247,11,22
1626631406,7,22
1626642622,11,29
1626653772,14,17
1626664933,13,19
1626676084,13,24
1626686946,18,17
1626697801,17,20
1626708643,12,18
1626731022,17,38
1626742188,26,18
1626753038,11,15
1626763894,12,17
1626780482,14,39
1626791632,22,24
1626802488,29,13
1626813642,15,15
1626824498,19,16
1626835352,17,18
1626846209,18,18
1626857068,19,19
1626868216,20,19
1626879063,21,9
1626889922,33,20
1626900781,13,20
1626911628,13,15
1626922484,28,13
1626933338,26,19
1626944187,24,23
1626955352,18,18
1626966807,18,16
1626977658,27,20
1626988816,12,9
1626999664,22,9
1627010513,29,19
1627021672,21,23
1627032516,14,28
1627043378,21,17
1627054230,24,6
1627065383,16,16
1627076540,19,10
1627087397,19,21
1627098251,15,16
1627114853,12,27
1627125723,19,5
1627136587,24,15
1627147439,17,22
1627158292,17,20
1627202741,8,73
1627213593,24,14
1627224474,16,14
1627235332,18,19
1627246185,24,17
1627257331,14,11
1627268183,14,15
1627279042,25,22
1627290494,21,20
1627301653,14,15
1627312807,18,16
1627323659,18,13
1627334516,18,17
1627345363,9,18
1627356225,17,14
1627372817,30,23
1627383667,15,12
1627394519,12,17
1627405390,15,18
1627416548,24,22
1627427404,14,12
1627438262,30,15
1627449417,27,19
1627460574,23,17
1627471436,12,13
1627482295,25,14
1627493143,23,14
1627503994,18,12
1627514851,7,25
1627525702,20,23
1627536558,26,10
1627547412,21,17
1627558566,17,17
1627569421,22,19
1627580274,30,18
1627591127,15,9
1627601989,12,3
1627612840,17,0
1627645984,9,68
1627656833,24,19
1627667690,17,13
1627678541,22,2
1627689387,12,23
1627700250,21,13
1627711112,14,26
1627721966,23,16
1627733124,16,24
1627744280,29,25
1627755149,19,8
1627766002,16,21
1627776858,19,27
1627787716,15,19
1627798572,26,29
1627809725,15,15
1627820583,12,14
1627954242,82,219
1627965092,23,0
1627975940,24,12
1627986795,15,21
1627997651,20,21
1628008812,21,18
1628019668,22,12
1628030527,11,13
1628041387,22,17
1628052233,15,23
1628063089,24,16
1628073938,20,25
1628085093,24,23
1628095952,16,13
1628106805,25,20
1628117664,13,6
1628128516,18,19
1628139667,15,17
1628150520,17,4
1628161371,22,10
1628172525,25,16
1628183687,11,17
1628194540,10,20
1628205690,14,21
1628216547,13,19
1628227411,30,19
1628238569,9,16
